2018-12-01T10:00:00-0500,"Expo Cultura 2018",, 
2018-11-30T08:30:00-0500,"II Campeonato Abierto "Festival de Campeones 2018"",, 
2018-11-24T20:00:00-0500,"CNCO World Tour Guayaquil, Ecuador",, 
2018-11-01T20:00:00-0500,"Shakira at the Estadio Alberto Spencer, Guayaquil (Ecuador)",, 
2018-10-28T08:00:00-0500,"V Open Nacional Dinastia Diaz",, 
2018-10-27T21:00:00-0500,"Halloween Music Festival",, 
2018-10-21T16:00:00-0500,"Guayaquil City vs Barcelona SC",, 
2018-10-04T21:00:00-0500,"World Rave Pres. Roger Morante",, 
2018-09-29T20:00:00-0500,"Origen Tablao Flamenco",, 
2018-09-29T10:00:00-0500,"III SEMINARIO INTERNACIONAL - DANIIL RYABKO - EN GUAYAQUIL",, 
2018-09-29T09:30:00-0500,"Curso de Tallado en Madera Guayaquil",, 
2018-09-28T22:00:00-0500,"Tributo a Luis Miguel",, 
